MEAN_X,MEAN_Y,ISO_A2_EH
19.713680516108475,48.786046604634642,SK
-87.817285089136277,63.819155298244802,CA
-12.238882194933719,8.414220299766972,SL
12.453615138157986,43.934523518210590,SM
-88.303360286802587,17.393553320354386,BZ
-14.663894128112313,13.958111694458012,SN
38.211525878401574,0.219813908320870,KE
-4.541703990095822,54.204816152397335,IM
24.479674007015632,-29.198941993730131,ZA
82.478213505880177,21.092944575342926,IN
54.332301495899159,24.516035278922502,AE
72.012188123872590,-6.442309777637188,IO
68.091813633162232,35.229162774598102,AF
-61.846261876352749,17.066251025820247,AG
35.210050681281409,31.915131279619697,IL
1.563760323411856,42.528383305019666,AD
45.147966845168277,40.223920035481648,AM
16.902197412050590,-11.080857541574485,AO
44.542710596440536,34.645954404221115,IQ
52.979752015278891,32.432883647023893,IR
-63.117281530836934,18.275115508069035,AI
-19.773457407950023,65.222139665804136,IS
11.768474259034585,41.975688444075793,IT
20.001166507299718,41.047201519740113,AL
136.169213776856282,-24.088847297883358,AU
-69.984381602115334,12.521030678653901,AW
20.223387536300937,60.172643508067743,AX
28.256962417437116,-13.086163888785048,ZM
-11.825939278466814,-72.520287327694092,AQ
55.548098565559577,-21.111037848249925,RE
-64.684666906555378,-37.661604813412374,AR
29.790914047146323,-19.023978458129193,ZW
-169.992990022131210,-13.964680244704857,AS
25.460839740617729,45.912849460132811,RO
13.572448340598797,47.577107554257807,AT
17.897065112530562,44.251492838278608,BA
47.299922382850639,40.128981648224723,AZ
-8.116485404787008,39.602581297777114,PT
-2.123176513085036,49.218593221553256,JE
134.097252361509533,6.870054625544642,PW
-86.027440813912079,14.727645536823784,HN
-66.342351283006550,18.178916204141974,PR
47.082277133742579,14.622833655544291,YE
35.158691220052091,31.908603217141973,PS
114.157630812525312,22.352215529485001,HK
-72.915725401599701,18.929565778153432,HT
19.196281583566115,47.156457139784223,HU
-57.961398282496809,-23.937578636205373,PY
16.051096028073712,44.535853609089727,HR
51.168913919957006,25.452276287053294,QA
-8.660443692507876,53.334889338824397,IE
45.140581359466715,-12.827342308388820,YT
119.603505029005532,-2.829523238389446,ID
-41.803830106805997,70.029372140014004,GL
-15.656929483514713,13.420890367576432,GM
-11.368821029192812,10.140279236550443,GN
-2.436692136881289,49.507938571355986,GG
-1.030102229422623,8.302153155165543,GH
35.849495093390566,33.142680088266722,XD
-5.346685964166452,36.129543336142987,GI
-34.667485895841175,-55.124284980226861,GS
-90.087181966156038,15.651239105379400,GT
144.751977024428584,13.451127219673529,GU
-61.479993107325640,16.177685102542913,GP
9.279514882402914,1.975295502007631,GQ
23.855732305600068,38.240812192746418,GR
-74.485276741730416,-7.885083068220022,PE
-143.875172980214245,-16.507461662780408,PF
148.684127619349994,-6.766369064968750,PG
-80.215040298471749,8.463290106721219,PA
-15.528942424732310,11.629070015997797,GW
20.881341398125542,42.557217668852438,XK
-58.875722669040158,4.616117749581600,GY
18.863979010214614,51.518782561407477,PL
-56.295748386560902,46.933929655378094,PM
-128.293484966842044,-24.515578965868350,PN
122.525527277804699,11.383248132730055,PH
68.934316045957146,29.420941414282808,PK
166.935376642888883,-0.517781942444376,NR
118.764058180211578,-17.503879388825101,FJ
-59.637553348936621,-51.764794018249283,FK
-169.891619206527679,-19.061465029833265,NU
152.524676505495933,6.686773992960690,FM
14.118828902103644,65.683424451059409,NO
84.170113030877161,28.314566490362822,NP
23.795304137913096,62.828040825808806,FI
172.436739910932374,-41.881249827632175,NZ
2.108803767930304,46.323218120214896,FR
-176.934096046499917,-13.680641585736780,WF
-6.820106658490664,62.069845944797969,FO
-172.158478267560525,-13.773423070484768,WS
56.758270036656882,21.901709768458463,OM
-61.609653032562427,12.209802048781311,GD
43.657335932490270,42.105946911473083,GE
-53.325155517940367,3.740230308513419,GF
-56.044145469012989,-32.610593096651037,UY
11.230117144375061,-0.909869707292607,GA
66.770032311252237,41.010172604020411,UZ
-60.978266990308192,14.623778828022621,MQ
-2.702980299855802,53.359629574870731,GB
-12.705740586711558,18.538901739632273,MR
-62.167837835826013,16.739150118130503,MS
14.381358269163705,35.945533092727324,MT
96.937521441723817,17.560496960810454,MM
102.199557482084103,47.961443391628201,MN
24.179828288686412,58.625152126606125,EE
113.551393368847954,22.166005675250069,MO
145.562987632388541,16.806989771961796,MP
32.322502429912802,28.762068520034557,EG
-61.271607598252949,12.954797502963922,VC
110.684802965490647,4.144630236944743,MY
-12.257232602794668,24.512564092514260,EH
35.978137606692854,-17.304893313841959,MZ
-65.602743437990767,8.429889103233029,VE
39.804432921578162,15.065196545710021,ER
-5.122569349973600,39.057859332631544,ES
58.404636609654936,-19.103788819601697,MU
38.573717627168648,9.004921875846447,ET
73.184708650024746,4.219705485474904,MV
12.453257727142956,41.903212529571491,VA
34.095090670958349,-12.892195840478454,MW
-105.133077404878549,24.686461198910798,MX
166.001989217890582,-21.349372092668336,NC
7.959429455758726,15.599913882390656,NE
-64.542217393290329,18.463157567053830,VG
-64.803319584281638,18.126384090718371,VI
18.288274670667853,-21.905895323571357,NA
167.844732284594926,-16.182066748013767,VU
5.273651591558878,51.956582081977224,NL
106.639246510929937,16.352165283714317,VN
167.950734896807717,-29.040985735153772,NF
7.727641113919282,7.580413590488878,NG
-84.707899857022426,13.137341204315920,NI
36.011597630345207,-7.455796690116028,TZ
-9.002355124344058,6.606689802267836,LR
42.676614709071821,11.700167437866080,DJ
28.114767728944550,-29.578886981367187,LS
-61.251751517800948,10.609818625867410,TT
10.360376674962030,55.806848482924579,DK
178.273958803246387,-7.675877739855004,TV
